ds,y
2022/8/1 12:55,801.1666667
2022/8/1 13:00,778.52
2022/8/1 13:05,789.9166667
2022/8/1 13:10,757.6666667
2022/8/1 13:15,721.0333333
2022/8/1 13:20,703.6521739
2022/8/1 13:25,706.8
2022/8/1 13:30,721.5333333
2022/8/1 13:35,705.0333333
2022/8/1 13:40,702.5333333
2022/8/1 13:45,707.3666667
2022/8/1 13:50,694.6666667
2022/8/1 13:55,676.9333333
2022/8/1 14:00,658.8666667
2022/8/1 14:05,652.5666667
2022/8/1 14:10,645.2333333
2022/8/1 14:15,662.4666667
2022/8/1 14:20,657.1
2022/8/1 14:25,665.1666667
2022/8/1 14:30,667.2666667
2022/8/1 14:35,649.6666667
2022/8/1 14:40,609.6333333
2022/8/1 14:45,600.7333333
2022/8/1 14:50,604.1
2022/8/1 14:55,613.0666667
2022/8/1 15:00,633.6
2022/8/1 15:05,646.1666667
2022/8/1 15:10,644.6666667
2022/8/1 15:15,668.6666667
2022/8/1 15:20,673.3666667
2022/8/1 15:25,663.3
2022/8/1 15:30,682.8666667
2022/8/1 15:35,677.7
2022/8/1 15:40,689.1666667
2022/8/1 15:45,708.4666667
2022/8/1 15:50,724
2022/8/1 15:55,716.4
2022/8/1 16:00,717.0333333
2022/8/1 16:05,707.4666667
2022/8/1 16:10,693.6
2022/8/1 16:15,731.7666667
2022/8/1 16:20,741.6
2022/8/1 16:25,740.6
2022/8/1 16:30,748.9
2022/8/1 16:35,741.7333333
2022/8/1 16:40,747.1
2022/8/1 16:45,769.7333333
2022/8/1 16:50,772.2333333
2022/8/1 16:55,743.0666667
2022/8/1 17:00,736.3666667
2022/8/1 17:05,755.6666667
2022/8/1 17:10,779.4333333
2022/8/1 17:15,796.1666667
2022/8/1 17:20,819.3333333
2022/8/1 17:25,840.4333333
2022/8/1 17:30,847.5666667
2022/8/1 17:35,876.1
2022/8/1 17:40,914.2666667
2022/8/1 17:45,912.6
2022/8/1 17:50,917.0333333
2022/8/1 17:55,913.8666667
2022/8/1 18:00,922.4333333
2022/8/1 18:05,945.6333333
2022/8/1 18:10,959.5666667
2022/8/1 18:15,963.5
2022/8/1 18:20,989.5666667
2022/8/1 18:25,995.1333333
2022/8/1 18:30,952.1333333
2022/8/1 18:35,911.8333333
2022/8/1 18:40,900.0333333
2022/8/1 18:45,901.3333333
2022/8/1 18:50,897.6
2022/8/1 18:55,900.2666667
2022/8/1 19:00,905.8666667
2022/8/1 19:05,910.3
2022/8/1 19:10,900.8333333
2022/8/1 19:15,919.8
2022/8/1 19:20,925.3333333
2022/8/1 19:25,923.8666667
2022/8/1 19:30,910.7333333
2022/8/1 19:35,929.9666667
2022/8/1 19:40,925.3
2022/8/1 19:45,948.5
2022/8/1 19:50,965.6
2022/8/1 19:55,961.2
2022/8/1 20:00,971.6
2022/8/1 20:05,980.2666667
2022/8/1 20:10,982.7
2022/8/1 20:15,1030.633333
2022/8/1 20:20,1036
2022/8/1 20:25,1060.5
2022/8/1 20:30,1090.766667
2022/8/1 20:35,1104.366667
2022/8/1 20:40,1109.6
2022/8/1 20:45,1127.033333
2022/8/1 20:50,1131.266667
2022/8/1 20:55,1118.8
2022/8/1 21:00,1118.7
2022/8/1 21:05,1122.866667
2022/8/1 21:10,1137.833333
2022/8/1 21:15,1122.933333
2022/8/1 21:20,1113.133333
2022/8/1 21:25,1120.333333
2022/8/1 21:30,1144.466667
2022/8/1 21:35,1135.466667
2022/8/1 21:40,1130.033333
2022/8/1 21:45,1113.233333
2022/8/1 21:50,1108.766667
2022/8/1 21:55,1115.233333
2022/8/1 22:00,1146.8
2022/8/1 22:05,1123.033333
2022/8/1 22:10,1094.7
2022/8/1 22:15,1090.266667
2022/8/1 22:20,1061.333333
2022/8/1 22:25,1072.333333
2022/8/1 22:30,1076.533333
2022/8/1 22:35,1028.4
2022/8/1 22:40,1048.433333
2022/8/1 22:45,1048.666667
2022/8/1 22:50,1042.866667
2022/8/1 22:55,1032.6
2022/8/1 23:00,1039.766667
2022/8/1 23:05,1057.533333
2022/8/1 23:10,1046.366667
2022/8/1 23:15,1038.633333
2022/8/1 23:20,1021.1
2022/8/1 23:25,1022.333333
2022/8/1 23:30,1016.533333
2022/8/1 23:35,1009.166667
2022/8/1 23:40,1031.333333
